exported_at,pipeline,kind,entity,value,last_changed
2026-08-22T00:20:00,capture_daily_cooling_kwh_cdd,spc,input_datetime.cooling_kwh_cdd_spc_last_capture,2026-08-21,2026-08-22T03:59:00.303099+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_cost,accumulator,input_number.dehumidifier_cost_year_acc,49.73,2026-08-22T03:59:30.446413+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_cost,accumulator,input_datetime.dehumidifier_cost_capture_last_ok,2026-08-21 23:59:30,2026-08-22T03:59:30.447908+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_duty_day_1,7.7,2026-08-22T03:59:30.331257+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_duty_day_2,6.5,2026-08-22T03:59:30.325181+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_duty_day_3,3.9,2026-08-22T03:59:30.322762+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_duty_day_4,6.4,2026-08-22T03:59:30.320785+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_duty_day_5,8.5,2026-08-22T03:59:30.320397+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_duty_day_6,8.4,2026-08-22T03:59:30.319953+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_duty_day_7,9.4,2026-08-22T03:59:30.318302+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_kwh_day_1,0.861,2026-08-22T03:59:30.367221+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_kwh_day_2,0.724,2026-08-22T03:59:30.366594+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_kwh_day_3,0.422,2026-08-22T03:59:30.365979+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_kwh_day_4,0.716,2026-08-22T03:59:30.365280+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_kwh_day_5,0.966,2026-08-22T03:59:30.346571+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_kwh_day_6,0.954,2026-08-22T03:59:30.344017+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_number.dehumidifier_kwh_day_7,1.073,2026-08-22T03:59:30.334296+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_duty_kwh,accumulator,input_datetime.dehumidifier_duty_kwh_capture_last_ok,2026-08-21 23:59:30,2026-08-22T03:59:30.368611+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_watts,spc,input_number.dehumidifier_running_watts_day_1,466.6,2026-08-22T01:48:40.545607+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_watts,spc,input_number.dehumidifier_running_watts_day_2,0.0,2026-08-22T01:48:03.797714+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_watts,spc,input_number.dehumidifier_running_watts_day_3,0.0,2026-08-22T01:48:03.797781+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_watts,spc,input_number.dehumidifier_running_watts_day_4,0.0,2026-08-22T01:48:03.797847+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_watts,spc,input_number.dehumidifier_running_watts_day_5,0.0,2026-08-22T01:48:03.797915+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_watts,spc,input_number.dehumidifier_running_watts_day_6,0.0,2026-08-22T01:48:03.797983+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_watts,spc,input_number.dehumidifier_running_watts_day_7,0.0,2026-08-22T01:48:03.798051+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_watts,spc,input_datetime.dehumidifier_spc_last_capture,1970-01-01,2026-08-22T01:48:03.825395+00:00
2026-08-22T00:20:00,capture_daily_dehumidifier_watts,spc,input_datetime.dehumidifier_spc_last_seed,2026-08-21,2026-08-22T01:48:03.825964+00:00
2026-08-22T00:20:00,capture_daily_fridge_watts,spc,input_number.fridge_running_watts_day_1,114.8,2026-08-22T03:59:00.519180+00:00
2026-08-22T00:20:00,capture_daily_fridge_watts,spc,input_number.fridge_running_watts_day_2,109.1,2026-08-22T03:59:00.514099+00:00
2026-08-22T00:20:00,capture_daily_fridge_watts,spc,input_number.fridge_running_watts_day_3,118.5,2026-08-22T03:59:00.512709+00:00
2026-08-22T00:20:00,capture_daily_fridge_watts,spc,input_number.fridge_running_watts_day_4,106.7,2026-08-22T03:59:00.511325+00:00
2026-08-22T00:20:00,capture_daily_fridge_watts,spc,input_number.fridge_running_watts_day_5,107.3,2026-08-22T03:59:00.509795+00:00
2026-08-22T00:20:00,capture_daily_fridge_watts,spc,input_number.fridge_running_watts_day_6,109.7,2026-08-22T03:59:00.507146+00:00
2026-08-22T00:20:00,capture_daily_fridge_watts,spc,input_number.fridge_running_watts_day_7,110.0,2026-08-22T03:59:00.503465+00:00
2026-08-22T00:20:00,capture_daily_fridge_watts,spc,input_datetime.fridge_spc_last_capture,2026-08-21,2026-08-22T03:59:00.520906+00:00
2026-08-22T00:20:00,capture_daily_fridge_watts,spc,input_datetime.fridge_spc_last_seed,2026-08-21,2026-08-22T01:48:03.825507+00:00
2026-08-22T00:20:00,capture_daily_furnace_min_per_cycle,accumulator,input_number.furnace_min_per_cycle_day_1,0.0,2026-08-22T01:48:03.740705+00:00
2026-08-22T00:20:00,capture_daily_furnace_min_per_cycle,accumulator,input_number.furnace_min_per_cycle_day_2,0.0,2026-08-22T01:48:03.740772+00:00
2026-08-22T00:20:00,capture_daily_furnace_min_per_cycle,accumulator,input_number.furnace_min_per_cycle_day_3,0.0,2026-08-22T01:48:03.740841+00:00
2026-08-22T00:20:00,capture_daily_furnace_min_per_cycle,accumulator,input_number.furnace_min_per_cycle_day_4,0.0,2026-08-22T01:48:03.740912+00:00
2026-08-22T00:20:00,capture_daily_furnace_min_per_cycle,accumulator,input_number.furnace_min_per_cycle_day_5,0.0,2026-08-22T01:48:03.740983+00:00
2026-08-22T00:20:00,capture_daily_furnace_min_per_cycle,accumulator,input_number.furnace_min_per_cycle_day_6,0.0,2026-08-22T01:48:03.741049+00:00
2026-08-22T00:20:00,capture_daily_furnace_min_per_cycle,accumulator,input_number.furnace_min_per_cycle_day_7,0.0,2026-08-22T01:48:03.741118+00:00
2026-08-22T00:20:00,capture_daily_furnace_min_per_cycle,accumulator,input_datetime.furnace_cycle_capture_last_ok,1970-01-01 00:00:00,2026-08-22T01:48:03.824403+00:00
2026-08-22T00:20:00,capture_daily_furnace_watts,spc,input_number.furnace_running_watts_day_1,773.8,2026-08-22T03:59:00.473379+00:00
2026-08-22T00:20:00,capture_daily_furnace_watts,spc,input_number.furnace_running_watts_day_2,773.2,2026-08-22T03:59:00.470427+00:00
2026-08-22T00:20:00,capture_daily_furnace_watts,spc,input_number.furnace_running_watts_day_3,774.4,2026-08-22T03:59:00.461470+00:00
2026-08-22T00:20:00,capture_daily_furnace_watts,spc,input_number.furnace_running_watts_day_4,778.8,2026-08-22T03:59:00.448611+00:00
2026-08-22T00:20:00,capture_daily_furnace_watts,spc,input_number.furnace_running_watts_day_5,784.2,2026-08-22T03:59:00.435490+00:00
2026-08-22T00:20:00,capture_daily_furnace_watts,spc,input_number.furnace_running_watts_day_6,774.5,2026-08-22T03:59:00.425842+00:00
2026-08-22T00:20:00,capture_daily_furnace_watts,spc,input_number.furnace_running_watts_day_7,767.4,2026-08-22T03:59:00.414488+00:00
2026-08-22T00:20:00,capture_daily_furnace_watts,spc,input_datetime.furnace_spc_last_capture,2026-08-21,2026-08-22T03:59:00.487216+00:00
2026-08-22T00:20:00,capture_daily_furnace_watts,spc,input_datetime.furnace_spc_last_seed,2026-08-21,2026-08-22T01:48:03.825618+00:00
2026-08-22T00:20:00,capture_daily_hdd,accumulator,input_number.hdd_day_1,0.0,2026-08-22T01:48:03.738407+00:00
2026-08-22T00:20:00,capture_daily_hdd,accumulator,input_number.hdd_day_2,0.0,2026-08-22T01:48:03.738491+00:00
2026-08-22T00:20:00,capture_daily_hdd,accumulator,input_number.hdd_day_3,0.0,2026-08-22T01:48:03.738558+00:00
2026-08-22T00:20:00,capture_daily_hdd,accumulator,input_number.hdd_day_4,0.0,2026-08-22T01:48:03.738627+00:00
2026-08-22T00:20:00,capture_daily_hdd,accumulator,input_number.hdd_day_5,0.0,2026-08-22T01:48:03.738700+00:00
2026-08-22T00:20:00,capture_daily_hdd,accumulator,input_number.hdd_day_6,0.0,2026-08-22T01:48:03.738770+00:00
2026-08-22T00:20:00,capture_daily_hdd,accumulator,input_number.hdd_day_7,0.0,2026-08-22T01:48:03.738949+00:00
2026-08-22T00:20:00,capture_daily_hdd,accumulator,input_datetime.hdd_capture_last_ok,2026-08-21 23:55:00,2026-08-22T03:55:00.349043+00:00
2026-08-22T00:20:00,capture_daily_hwh_recirc_watts,spc,input_number.hwh_recirc_running_watts_day_1,109.5,2026-08-22T03:59:00.533636+00:00
2026-08-22T00:20:00,capture_daily_hwh_recirc_watts,spc,input_number.hwh_recirc_running_watts_day_2,105.0,2026-08-22T03:59:00.531920+00:00
2026-08-22T00:20:00,capture_daily_hwh_recirc_watts,spc,input_number.hwh_recirc_running_watts_day_3,106.7,2026-08-22T03:59:00.529628+00:00
2026-08-22T00:20:00,capture_daily_hwh_recirc_watts,spc,input_number.hwh_recirc_running_watts_day_4,105.8,2026-08-22T03:59:00.527757+00:00
2026-08-22T00:20:00,capture_daily_hwh_recirc_watts,spc,input_number.hwh_recirc_running_watts_day_5,105.0,2026-08-22T03:59:00.526591+00:00
2026-08-22T00:20:00,capture_daily_hwh_recirc_watts,spc,input_number.hwh_recirc_running_watts_day_6,105.8,2026-08-22T03:59:00.524477+00:00
2026-08-22T00:20:00,capture_daily_hwh_recirc_watts,spc,input_number.hwh_recirc_running_watts_day_7,104.1,2026-08-22T03:59:00.522994+00:00
