Month,Day,HDD65_mean,HDD65_min,HDD65_max,HDD65_p10,HDD65_p90,CDD65_mean,CDD65_min,CDD65_max,CDD65_p10,CDD65_p90,Tmean_mean,Tmin_mean,Tmax_mean,Samples,DayOfYear
5,26,8.85,5.909999999999997,14.549999999999997,5.909999999999997,12.282000000000004,0.0,0.0,0.0,0.0,0.0,56.150000000000006,47.739999999999995,64.56,18,146
5,27,4.44,0.060000000000002274,9.869999999999997,0.060000000000002274,8.484000000000002,0.0,0.0,0.0,0.0,0.0,60.559999999999995,50.28,70.84,18,147
5,28,4.39,0.0,9.869999999999997,0.0,8.168999999999999,0.07000000000000266,0.0,0.21000000000000796,0.0,0.21000000000000796,60.68,52.48,68.88000000000001,18,148
5,29,6.969999999999999,0.4200000000000017,12.39,0.4200000000000017,12.39,0.0,0.0,0.0,0.0,0.0,58.03,48.98,67.08,18,149
5,30,6.043333333333333,0.0,10.950000000000003,0.0,10.950000000000003,1.4533333333333347,0.0,5.969999999999999,0.0,3.4500000000000055,60.410000000000004,48.64,72.18,18,150
5,31,5.413333333333333,0.0,10.14,0.0,9.950999999999999,2.413333333333333,0.0,7.230000000000004,0.0,6.915000000000003,62.0,48.400000000000006,75.6,18,151
6,1,2.933333333333334,0.0,8.700000000000003,0.0,6.810000000000002,1.2333333333333358,0.0,5.430000000000007,0.0,5.430000000000007,63.300000000000004,53.82,72.78,18,152
6,2,2.01,0.0,3.9299999999999926,0.0,3.8670000000000004,1.1500000000000026,0.0,4.800000000000011,0.0,4.800000000000011,64.14,53.92,74.36,18,153
6,3,1.6033333333333342,0.0,3.9299999999999997,0.0,3.8669999999999973,0.31333333333333574,0.0,1.3799999999999955,0.0,0.8130000000000044,63.71,54.52,72.9,18,154
6,4,3.6333333333333306,0.0,10.769999999999996,0.042000000000001605,7.368,0.0433333333333334,0.0,0.39000000000000057,0.0,0.11700000000000045,61.410000000000004,53.6,69.22,18,155
6,5,4.433333333333333,0.0,11.04,1.3650000000000024,8.456999999999999,0.43333333333333396,0.0,3.9000000000000057,0.0,1.1700000000000044,61.0,52.22,69.78,18,156
6,6,4.493333333333334,0.0,8.700000000000003,0.23099999999999887,7.314000000000002,0.9433333333333328,0.0,8.489999999999995,0.0,2.5470000000000046,61.449999999999996,53.62,69.28,18,157
6,7,2.340000000000001,0.0,6.810000000000002,0.0,6.810000000000002,2.020000000000001,0.0,8.939999999999998,0.0,5.916000000000006,64.68,55.28,74.08,18,158
6,8,0.22000000000000045,0.0,0.8700000000000045,0.0,0.8700000000000045,4.8500000000000005,0.0,11.189999999999998,0.0,11.189999999999998,69.63,60.080000000000005,79.18,18,159
6,9,0.34666666666666796,0.0,1.3200000000000003,0.0,1.0050000000000037,5.296666666666669,0.0,13.530000000000001,0.0,13.530000000000001,69.94999999999999,60.68,79.22,18,160
6,10,0.32666666666666644,0.0,0.8700000000000045,0.0,0.8700000000000045,3.8966666666666674,0.0,13.89,0.0,13.89,68.57,60.04,77.10000000000001,18,161
6,11,1.4366666666666659,0.0,5.009999999999998,0.0,3.876000000000001,1.976666666666669,0.0,6.150000000000006,0.0,6.150000000000006,65.54,57.739999999999995,73.34,18,162
6,12,1.7466666666666666,0.0,6.089999999999996,0.0,3.5070000000000054,0.3866666666666687,0.0,1.740000000000009,0.0,1.740000000000009,63.64,55.580000000000005,71.69999999999999,18,163
6,13,2.596666666666666,0.0,8.159999999999997,0.0,8.159999999999997,0.8866666666666655,0.0,5.789999999999992,0.0,2.3250000000000037,63.29,55.419999999999995,71.16000000000001,18,164
6,14,1.6399999999999997,0.0,4.649999999999999,0.0,4.649999999999999,1.6400000000000006,0.0,5.700000000000003,0.0,5.700000000000003,65.0,56.18,73.82,18,165
6,15,0.4966666666666673,0.0,1.9500000000000028,0.0,1.7610000000000008,2.0166666666666657,0.0,8.039999999999992,0.0,5.267999999999999,66.52,57.16,75.88,18,166
6,16,0.8666666666666664,0.0,1.9500000000000028,0.0,1.5719999999999987,0.9666666666666655,0.0,8.669999999999987,0.0,2.622000000000003,65.1,56.46,73.74000000000001,18,167
6,17,1.1466666666666658,0.0,4.829999999999998,0.0,4.199999999999995,3.2566666666666637,0.0,7.949999999999989,0.0,7.886999999999996,67.11,57.78,76.44,18,168
6,18,2.2433333333333345,0.0,5.549999999999997,0.0,5.361,2.313333333333331,0.0,8.759999999999991,0.0,8.129999999999997,65.07,56.12,74.02,18,169
6,19,1.5499999999999972,0.0,6.269999999999996,0.0,3.119999999999999,1.5900000000000019,0.0,8.670000000000002,0.0,4.7640000000000065,65.04,56.18,73.9,18,170
6,20,1.1266666666666652,0.0,4.289999999999999,0.0,2.1479999999999997,1.956666666666665,0.0,11.009999999999991,0.0,7.9229999999999965,65.83,55.919999999999995,75.74,18,171
6,21,0.7333333333333327,0.0,3.75,0.0,3.1199999999999966,3.8033333333333355,0.0,15.510000000000005,0.0,9.588000000000005,68.07,58.300000000000004,77.84,18,172
6,22,0.4633333333333327,0.0,3.479999999999997,0.0,1.5269999999999995,3.1433333333333358,0.0,14.700000000000017,0.0,6.384000000000009,67.68,59.36,76.0,18,173
6,23,0.34333333333333216,0.0,2.489999999999995,0.0,1.1669999999999958,3.5533333333333337,0.0,6.960000000000008,0.0,6.960000000000008,68.21,60.18,76.24,18,174
6,24,0.07666666666666641,0.0,0.6899999999999977,0.0,0.2069999999999998,4.08666666666667,0.0,9.480000000000004,1.5960000000000012,9.480000000000004,69.01,60.160000000000004,77.86,18,175
6,25,0.046666666666666856,0.0,0.4200000000000017,0.0,0.1260000000000008,5.256666666666669,0.0,10.290000000000006,1.6590000000000036,10.290000000000006,70.21,60.660000000000004,79.76,18,176
6,26,0.426666666666667,0.0,3.8400000000000034,0.0,1.1520000000000037,6.036666666666668,0.0,10.289999999999992,1.2180000000000066,10.038000000000002,70.61,61.919999999999995,79.30000000000001,18,177
6,27,0.35666666666666674,0.0,3.210000000000001,0.0,0.9630000000000025,4.826666666666668,0.0,10.650000000000006,0.27300000000000046,8.193000000000005,69.47,61.68,77.26,18,178
6,28,0.11666666666666635,0.0,1.0499999999999972,0.0,0.3149999999999999,6.666666666666667,0.0,13.710000000000008,1.7850000000000084,10.748999999999999,71.55000000000001,62.300000000000004,80.80000000000001,18,179
6,29,0.0,0.0,0.0,0.0,0.0,8.550000000000004,2.3700000000000045,17.129999999999995,3.630000000000003,13.098000000000006,73.55000000000001,64.54,82.56,18,180
6,30,0.0,0.0,0.0,0.0,0.0,7.659999999999998,3.180000000000007,13.980000000000004,4.629000000000002,11.208000000000002,72.66,63.699999999999996,81.62,18,181
